objectid,parentid,item_code,title,commonname,class,order,suborder,family,bone_type,notes,location,subject,cabinet,source,rights,rightsstatement,type,format,group,display_template,language,object_location,image_small,image_thumb,
oc070,,SC 1503,Rana sp. ,European Grass Frog ,Amphibia,Anura,Neobatrachia,Ranidae,Full Mounted Skeleton ,"Specimen in plastic, species determination uncertain ",,Frog;Amphibian;Mounted;Skeleton,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc071,oc070,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1503.png,/objects/small/sc1503_sm.jpg,/objects/thumbs/sc1503_th.jpg,
oc072,oc070,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1503r.png,/objects/small/sc1503r_sm.jpg,/objects/thumbs/sc1503r_th.jpg,
oc073,,SC 1504,Rana sp. ,European Grass Frog ,Amphibia,Anura,Neobatrachia,Ranidae,Full Mounted Skeleton ,"Specimen in plastic, species determination uncertain ",,Frog;Amphibian;Mounted;Skeleton,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc074,oc073,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1504.png,/objects/small/sc1504_sm.jpg,/objects/thumbs/sc1504_th.jpg,
oc075,oc073,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1504r.png,/objects/small/sc1504r_sm.jpg,/objects/thumbs/sc1504r_th.jpg,
oc076,,SC 1505,Rana sp. ,European Grass Frog ,Amphibia,Anura,Neobatrachia,Ranidae,Full Mounted Skeleton ,"Specimen in plastic, species determination uncertain ",,Frog;Amphibian;Mounted;Skeleton,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc077,oc076,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1505.png,/objects/small/sc1505_sm.jpg,/objects/thumbs/sc1505_th.jpg,
oc078,oc076,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1505r.png,/objects/small/sc1505r_sm.jpg,/objects/thumbs/sc1505r_th.jpg,
oc079,,SC 1506,Rana sp. ,European Grass Frog ,Amphibia,Anura,Neobatrachia,Ranidae,Full Mounted Skeleton ,"Specimen in plastic, species determination uncertain ",,Frog;Amphibian;Mounted;Skeleton,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc080,oc079,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1506.png,/objects/small/sc1506_sm.jpg,/objects/thumbs/sc1506_th.jpg,
oc081,oc079,,,,,,,,,,,,,,,,`,image/jpg,artifact,artifact_image,,/objects/sc1506r.png,/objects/small/sc1506r_sm.jpg,/objects/thumbs/sc1506r_th.jpg,
oc082,,SC 1507,Aquarana catesbeiana,American Bullfrog,Amphibia,Anura,Neobatrachia,Ranidae,Full Mounted Skeleton ,,,Frog;Amphibian;Mounted;Skeleton,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc083,oc082,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1507.png,/objects/small/sc1507_sm.jpg,/objects/thumbs/sc1507_th.jpg,
oc084,oc082,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1507r.png,/objects/small/sc1507r_sm.jpg,/objects/thumbs/sc1507r_th.jpg,
oc085,,SC 1508,Aquarana catesbeiana,American Bullfrog,Amphibia,Anura,Neobatrachia,Ranidae,Full Mounted Skeleton ,,,Frog;Amphibian;Mounted;Skeleton,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc086,oc085,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1508.png,/objects/small/sc1508_sm.jpg,/objects/thumbs/sc1508_th.jpg,
oc087,oc085,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1508r.png,/objects/small/sc1508r_sm.jpg,/objects/thumbs/sc1508r_th.jpg,
oc088,,SC 1509,Aquarana catesbeiana,American Bullfrog,Amphibia,Anura,Neobatrachia,Ranidae,Full mounted Skeleton ,,,Frog;Amphibian;Mounted;Skeleton,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc089,oc088,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1509.png,/objects/small/sc1509_sm.jpg,/objects/thumbs/sc1509_th.jpg,
oc090,oc088,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1509r.png,/objects/small/sc1509r_sm.jpg,/objects/thumbs/sc1509r_th.jpg,
oc091,,SC 1510,Aquarana catesbeiana,American Bullfrog,Amphibia,Anura,Neobatrachia,Ranidae,Full mounted Skeleton ,,,Frog;Amphibian;Mounted;Skeleton,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc092,oc091,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1510.png,/objects/small/sc1510_sm.jpg,/objects/thumbs/sc1510_th.jpg,
oc093,oc091,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1510r.png,/objects/small/sc1510r_sm.jpg,/objects/thumbs/sc1510r_th.jpg,
